Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Баранник,Арсен,Михайлович,Чоловіча,1961-01-10,Єгер,село Хоростків,"набережна Наклонна, буд. 0, Харків, 95756",+380 (85) 443-78-45,vasylyna40@example.org
Цимбалюк,Макар,Андрійович,Чоловіча,1997-02-23,Модель,село Берегове,"парк Маячний, буд. 28 кв. 181, Новодністровськ, 80314",080 964-90-88,ideriazhna@example.net
Гаврюшенко,Борислав,Юрійович,Чоловіча,1949-01-12,Фізик,село Тростянець,"проспект Костанді 3-й, буд. 6, Токмак, 84958",+380 (05) 296-72-94,ihnatkolesnychenko@example.net
Прокопович,Ілля,Володимирович,Чоловіча,1941-08-30,Музичний редактор,місто Борислав,"узвіз Вернидуба, буд. 03 кв. 09, Борислав, 71363",+380 74 584-37-88,vitaliizinchenko@example.org
Іващенко,Венедикт,Павлович,Чоловіча,1967-06-12,Євнух,місто Червоносів,"набережна Дзвінка, буд. 5, Підгайці, 31398",+380 38 628-18-04,ngalagan@example.net
Гайдай,Леон,Павлович,Чоловіча,1994-11-03,Астрофізик,місто Сєвєродонецьк,"шосе Лінія 41-ша, буд. 3 кв. 34, Рівне, 01641",+380 54 605-05-25,okhrimsirchenko@example.com
Авдєєнко,Леон,Володимирович,Чоловіча,1950-01-08,Краєзнавець,село Молочанськ,"провулок Васнецова, буд. 2, Вашківці, 15057",868-43-61,amvrosii00@example.com
Данчук,Захар,Володимирович,Чоловіча,1982-07-16,Ботанік,село Ізюм,"набережна Соляний 4-й, буд. 992 кв. 17, Тлумач, 35288",+380 68 451-30-87,wsyrotenko@example.org
Наливайко,Йосип,Іванович,Чоловіча,1987-08-22,Водій,хутір Городня,"узвіз Андреєвського, буд. 302 кв. 638, Ічня, 41240",+380 08 178-26-18,tsiutsiuravira@example.net
Голик,Андрій,Іванович,Чоловіча,2007-01-10,Каскадер,село Южноукраїнськ,"провулок Тимірязєва 5-й, буд. 9, Городище , 02434",090 716 15 88,qarkhypenko@example.com
Гаврилець,Юстим,Юрійович,Чоловіча,1939-12-30,Медик,селище Харцизьк,"парк 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 1, Єнакієве, 10879",051 432-06-20,panas65@example.com
Кармалюк,Прохір,Олександрович,Чоловіча,1983-12-21,Диригент,місто Амвросіївка,"площа Щукіна, буд. 99, Часів Яр, 90420",+380 39 194-83-51,xvashchuk@example.com
Бабко,Демʼян,Павлович,Чоловіча,1968-12-08,Адвокат,селище Заліщики,"сквер Бугаївська, буд. 0 кв. 50, Погребище, 36278",066 256 40 12,havriushenkoarsen@example.org
Стус,Пантелеймон,Сергійович,Чоловіча,1975-04-08,Дизайнер,селище Шаргород,"узвіз Строганова, буд. 075 кв. 5, Здолбунів, 05949",016 609 04 46,odashkevych@example.org
Алексійчук,Валерій,Павлович,Чоловіча,1986-08-13,Ґрунтознавець,село Ірміно,"провулок Ползунова 2-й, буд. 414, Ірміно, 02877",040 615 27 83,havryshroksolana@example.org
Тимченко,Олександр,Сергійович,Чоловіча,2002-03-25,Географ,хутір Сновськ,"набережна Гаршина, буд. 0 кв. 4, Збараж, 18066",+380 35 262 84 64,symonavramchuk@example.net
Лесик,Петро,Анатолійович,Чоловіча,1973-10-20,Краєзнавець,селище Кам'янка-Бузька,"парк Східний, буд. 03, Хуст, 67066",562-97-22,eduard27@example.org
Худяк,Болеслав,Юрійович,Чоловіча,1987-05-03,Менеджер,місто Ямпіль,"площа Рівності 1-й, буд. 194, Авдіївка, 36351",223-75-82,yturkalo@example.net
Ніколюк,Аркадій,Петрович,Чоловіча,1959-08-05,Стоматолог,хутір Брянка,"шосе Керченський 3-й, буд. 798 кв. 10, Бориспіль, 65895",+380 48 579 75 84,lesnesterenko@example.org
Карпа,Ростислав,Сергійович,Чоловіча,1965-01-08,Модель,хутір Гайворон,"набережна Катерининська, буд. 76 кв. 613, Полтава, 68207",+380 31 611 46 44,dtykhyi@example.org
Ільєнко,Мирон,Олександрович,Чоловіча,1969-05-10,Різноробочий,хутір Семенівка,"проспект Херсонський сквер, буд. 82 кв. 588, Кадіївка, 88550",064 571-92-71,ukopytko@example.com
Байдак,Руслан,Павлович,Чоловіча,1989-08-15,Електромонтер,селище Сокиряни,"узвіз Дорбуду, буд. 4 кв. 774, Інкерман, 90657",+380 26 690-67-91,zaporozhetsopanas@example.com
Колісниченко,Тимофій,Анатолійович,Чоловіча,2005-02-05,Реабілітолог,місто Радехів,"узвіз Спартаківська, буд. 292 кв. 405, Полтава, 77621",+380 85 503-28-26,tereshchenkomakar@example.net
Приймак,Демид,Володимирович,Чоловіча,1989-11-24,Інженер,селище Снятин,"набережна Палубна, буд. 504 кв. 673, Сторожинець, 35699",212 78 35,akulenkoserhii@example.com
Андріїшин,Аркадій,Юрійович,Чоловіча,1945-11-22,Електротехнік,місто Курахове,"провулок Незалежності, буд. 985, Таврійськ, 46812",+380 30 745-70-88,erikafranko@example.net
Джус,Ростислав,Сергійович,Чоловіча,1945-02-27,Локсмайстер,село Горішні Плавні,"проспект Космонавта Комарова, буд. 94, Калинівка , 55708",007 718 75 36,iakiv75@example.com
Бараник,Нестор,Володимирович,Чоловіча,2004-02-18,Клавішник,місто Овруч,"набережна Академіка Панкратової, буд. 023 кв. 1, Великі Мости, 95050",+380 41 574-04-85,viacheslavlukash@example.com
Христич,Демʼян,Анатолійович,Чоловіча,1991-04-30,Будник,хутір Мукачево,"вулиця Дунаєвського 1-й, буд. 99, Лебедин, 30180",+380 (98) 125-48-47,irenashynkarenko@example.com
Пелех,Лукʼян,Михайлович,Чоловіча,1978-11-01,Інженер,селище Сокиряни,"проспект Китобійний 2-й, буд. 84, Ямпіль, 57176",+380 61 880-22-47,varfolomiibatih@example.com
Баштан,Устим,Андрійович,Чоловіча,1973-05-27,Фізик,селище Глобине,"набережна Успенський, буд. 794, Хуст, 19758",057 44 47,babiukmykolai@example.org
Данько,Стефан,Олександрович,Чоловіча,1959-03-10,Фольклорист,хутір Ізяслав,"сквер Весела, буд. 776, Дубляни, 59159",+380 (87) 802-55-35,ehuzenko@example.net
Карпа,Віталій,Юрійович,Чоловіча,1973-05-18,Співак,селище Перемишляни,"площа Басейний 6-й, буд. 338 кв. 633, Новояворівськ, 53615",773 87 15,tiahnybokorkhyp@example.com
Аверченко,Борис,Володимирович,Чоловіча,1960-01-15,Ботанік,село Сновськ,"провулок Нечипуренка, буд. 9, Українка , 22257",081 255-95-27,tarasverkhola@example.org
Їжак,Климент,Михайлович,Чоловіча,1983-12-29,Фотограф,селище Ржищів,"шосе Садиковська, буд. 553, Марганець , 20780",+380 92 522 88 66,teslenkoalina@example.org
Власюк,Олекса,Сергійович,Чоловіча,2008-07-01,Випробувач,селище Вознесенівка,"парк Довженка, буд. 3, Снігурівка, 10540",+380 (61) 722-07-83,borys94@example.net
Дрозденко,Данило,Юрійович,Чоловіча,1944-04-16,Намотувальник,місто Кобеляки,"шосе Книжковий, буд. 52 кв. 1, Павлоград, 30940",697 14 54,tivanychuk@example.com
Андрійчук,Пантелеймон,Петрович,Чоловіча,1976-08-23,Штукатур,селище Пологи ,"парк Аеропортівська, буд. 85 кв. 8, Нетішин, 22522",009 485 87 26,oksana76@example.com
Вишняк,Алевтин,Павлович,Чоловіча,1978-09-05,Модель,місто Виноградів,"парк Академіка Богатського, буд. 9, Шаргород, 91653",+380 (78) 360-62-10,veniiamyniurchenko@example.net
Бабій,Олесь,Павлович,Чоловіча,1965-06-10,Графік,селище Хорол ,"узвіз Академічна, буд. 145, Умань, 55808",+380 79 177 36 62,ostap39@example.org
